               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.025869,           0.0041324,          0.00078664,             0.98676,                   1,               0.995,             0.78317,            0.014205,           0.0036748,          0.00042206,              0.0064,              0.0064,              0.0064
                 122,            0.026877,           0.0044332,          0.00082739,             0.97528,                   1,             0.99446,             0.80804,            0.014611,           0.0036572,          0.00035485,             0.00637,             0.00637,             0.00637
                 123,             0.02759,           0.0043681,          0.00052597,             0.97681,                   1,               0.995,             0.79052,             0.01379,           0.0033934,           0.0003717,             0.00634,             0.00634,             0.00634
                 124,            0.028654,           0.0041636,          0.00061976,             0.97994,                   1,               0.995,             0.74206,             0.01678,           0.0034357,          0.00039614,             0.00631,             0.00631,             0.00631
                 125,            0.028333,           0.0042956,          0.00065456,             0.96998,                   1,             0.99412,             0.81339,            0.012963,           0.0034024,          0.00047436,             0.00628,             0.00628,             0.00628
                 126,            0.025729,           0.0039087,          0.00076088,             0.96823,                   1,               0.995,             0.77494,            0.013488,           0.0034145,          0.00050068,             0.00625,             0.00625,             0.00625
                 127,            0.026853,            0.004399,          0.00083861,              0.9773,                   1,             0.99324,             0.79178,            0.015241,           0.0035934,          0.00048486,             0.00622,             0.00622,             0.00622
                 128,            0.026792,           0.0041362,          0.00075938,             0.97794,                   1,             0.99412,             0.80976,            0.014283,           0.0035691,          0.00047158,             0.00619,             0.00619,             0.00619
                 129,            0.026244,           0.0042034,          0.00065965,             0.97408,                   1,               0.995,             0.82467,            0.012662,           0.0034605,          0.00046978,             0.00616,             0.00616,             0.00616
                 130,            0.027118,            0.004206,          0.00058927,             0.97904,                   1,               0.995,               0.795,            0.013192,           0.0033318,          0.00037745,             0.00613,             0.00613,             0.00613
                 131,            0.026518,           0.0042522,          0.00058789,              0.9827,                   1,               0.995,             0.81115,            0.012348,           0.0033583,          0.00033059,              0.0061,              0.0061,              0.0061
                 132,            0.026641,           0.0044264,          0.00053928,              0.9635,                   1,               0.995,             0.78626,            0.013097,           0.0034395,          0.00036401,             0.00607,             0.00607,             0.00607
                 133,            0.026441,           0.0042852,          0.00065375,              0.9647,                   1,               0.995,             0.81892,            0.012735,           0.0033902,          0.00041047,             0.00604,             0.00604,             0.00604
