               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.029687,           0.0059888,          0.00088543,             0.98092,                   1,             0.99324,             0.73353,            0.018135,           0.0050606,          0.00075908,            0.007888,            0.007888,            0.007888
                  66,            0.028853,           0.0060907,          0.00089436,             0.97872,             0.99893,             0.99279,              0.7622,            0.018103,           0.0051162,          0.00086002,            0.007855,            0.007855,            0.007855
                  67,              0.0311,            0.006095,          0.00097038,             0.97573,                   1,             0.99412,              0.7762,            0.016761,           0.0050047,          0.00073299,            0.007822,            0.007822,            0.007822
                  68,            0.029211,            0.006031,           0.0009361,             0.97593,             0.99666,             0.99412,             0.73404,            0.016657,           0.0050613,          0.00078325,            0.007789,            0.007789,            0.007789
                  69,            0.030071,           0.0066401,           0.0012562,             0.97339,                   1,             0.99279,             0.80825,            0.015822,           0.0049333,          0.00083265,            0.007756,            0.007756,            0.007756
                  70,            0.028224,           0.0058625,           0.0010105,             0.96915,             0.99257,             0.99191,             0.77078,            0.016578,           0.0049329,          0.00079532,            0.007723,            0.007723,            0.007723
                  71,            0.028206,            0.005862,          0.00087602,             0.96921,             0.99701,             0.99456,              0.7246,            0.018745,           0.0051232,          0.00075641,             0.00769,             0.00769,             0.00769
                  72,            0.028655,           0.0062645,          0.00085167,             0.97902,             0.99833,               0.995,              0.7685,            0.015926,           0.0049266,          0.00064859,            0.007657,            0.007657,            0.007657
                  73,            0.029962,           0.0058315,          0.00093011,             0.98853,             0.99884,               0.995,             0.78306,            0.016086,           0.0048649,          0.00072412,            0.007624,            0.007624,            0.007624
                  74,            0.028774,           0.0057753,          0.00097304,             0.98155,             0.99649,             0.99412,             0.78557,            0.016063,           0.0049415,          0.00074139,            0.007591,            0.007591,            0.007591
                  75,            0.027961,           0.0059621,           0.0009501,             0.96698,                   1,             0.99232,             0.74068,            0.017952,           0.0049692,          0.00077853,            0.007558,            0.007558,            0.007558
                  76,            0.029029,           0.0060409,           0.0010003,             0.96701,                   1,             0.99412,             0.79102,            0.015883,           0.0048596,          0.00074463,            0.007525,            0.007525,            0.007525
                  77,            0.027913,           0.0060915,          0.00091462,             0.98175,                   1,             0.99456,             0.75903,            0.017485,           0.0048488,          0.00065069,            0.007492,            0.007492,            0.007492
